<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.4
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<All Function List>
File,Function Name,Address Range,True/False
FS_HWFailure.c,amend_hw_err_cnt,P:8000389C--800038B3,False
FS_InvalidSignal.c,CallOutRx_BCM_02_200ms,P:80003A60--80003AB1,False
prost_main.c,Check_Point,P:80005E6E--80005E71,True
FS_HWFailure.c,dump_ext_wdg_reset,P:800038B4--800038DB,False
FS_HWFailure.c,dump_smu_debug,P:800002AA--800002AB,True
FS_HWFailure.c,dump_smu_status,P:800002AA--800002AB,True
FS_BatteryVoltage.c,FS_Clear_BatteryVoltage,P:80002C48--80002C61,False
FS_CANTimeout.c,FS_Clear_CANTimeout,P:80002EFE--80002F31,False
FS_InvalidSignal.c,FS_Clear_InvalidSignal,P:80003AB2--80003BB1,False
SWC_Failsafe.c,FS_Init,P:800002AA--800002AB,True
SWC_Failsafe.c,FS_MasterLoop,P:80005172--80005185,True
SWC_Failsafe.c,FS_PostProcessing,P:80005186--80005211,True
SWC_Failsafe.c,FS_SetDiagsta,P:80005212--8000522D,True
FS_BatteryVoltage.c,FS_SetDiagsta_BatteryVoltage,P:80002C62--80002C7D,True
FS_CANBusOff.c,FS_SetDiagsta_CANBusOff,P:80002DD6--80002DF5,True
FS_CANTimeout.c,FS_SetDiagsta_CANTimeout,P:80002F32--8000304B,True
FS_HWFailure.c,FS_SetDiagsta_HWFailure,P:80003866--80003875,True
FS_InvalidSignal.c,FS_SetDiagsta_InvalidSignal,P:80003BB2--80003D1D,True
FS_SWFailure.c,FS_SetDiagsta_SWFailure,P:80004FD6--80004FE5,True
FS_SWFailure.c,FS_SetDiagsta_VariantCoding,P:80004FE6--80005021,True
SWC_Failsafe.c,FS_SetInhibit,P:8000522E--80005259,True
FS_BatteryVoltage.c,FS_SetInhibit_BatteryVoltage,P:80002C7E--80002CC1,True
FS_CANBusOff.c,FS_SetInhibit_CANBusOff,P:80002DF6--80002E31,True
FS_CANTimeout.c,FS_SetInhibit_CANTimeout,P:8000304C--800033C1,True
FS_HWFailure.c,FS_SetInhibit_HWFailure,P:80003876--8000389B,True
FS_InvalidSignal.c,FS_SetInhibit_InvalidSignal,P:80003D1E--80004129,True
