<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Code Coverage - MC/DC>
address,tree,coverage,mcdc,lines,ok,dec,cond,true,false,bytes,
P:80000004--80000007,Rte_Call_SWC_DiagnosticMonitor_DS000_ReportError,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002334--80002337,Rte_Call_SWC_DiagnosticMonitor_EnableCond_EnableCondtion_0_SetEnableCondition,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002338--8000233B,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_TEST_EVENT1_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:8000233C--8000233F,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_TEST_EVENT2_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002340--80002343,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_TEST_EVENT3_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002344--80002347,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_TEST_EVENT4_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002348--8000234B,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B155386_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:8000234C--8000234F,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B155486_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80002350--80002355,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160A87_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002358--8000235D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164686_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002360--80002365,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181287_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002368--8000236D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186387_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002370--80002375,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160A88_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002378--8000237D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165686_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002380--80002385,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181486_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002388--8000238D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186687_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002390--80002395,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161187_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002398--8000239D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165B87_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023A0--800023A5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181887_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023A8--800023AD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186787_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023B0--800023B5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161287_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023B8--800023BD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165C87_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023C0--800023C5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C182287_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023C8--800023CD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C187002_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023D0--800023D5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161386_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023D8--800023DD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C166987_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023E0--800023E5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C182386_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023E8--800023ED,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188087_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800023F0--800023F5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161487_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:800023F8--800023FD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C166A87_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002400--80002405,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183186_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002408--8000240D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188186_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002410--80002415,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161C86_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002418--8000241D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C167286_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002420--80002425,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183786_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002428--8000242D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C223986_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002430--80002435,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161E88_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002438--8000243D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C167A87_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
