<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
__init_sp,434976.0,-,434976.0,-,2
_start,434975.0,-,434975.0,-,1
_c_init_tc2,6.540,6.540,6.540,6.540,1
_c_init_entry,5.830,5.830,5.830,5.830,1
main_core2,2911.0,-,2911.0,-,1
Stack2_Fill,2910.0,2910.0,2910.0,2910.0,1
Check_Point,66818.0,-,66818.0,-,10
FS_MasterLoop,4893.240,476.240,497.060,492.130,10
FS_UpdatePrecond,73.360,6.810,8.720,8.720,10
.cocofun_3,7.200,0.430,0.990,0.610,10
is_valid_ems,12.690,1.190,1.500,1.500,10
.cocofun_48,23.210,0.740,0.860,0.777,30
FS_UpdateInfo,3787.020,376.400,389.600,389.600,10
FS_UpdateInfo_BatteryVoltage,66.980,5.590,8.090,6.130,10
get_precond_ptr,120.100,0.290,0.730,0.569,210
update_vol_info,52.330,4.000,6.520,4.000,10
FS_UpdateInfo_CANBusOff,32.800,3.190,4.090,4.090,10
FS_UpdateInfo_CANTimeout,2099.880,209.740,211.860,211.860,10
Get_HDA2_Option,86.880,1.430,1.660,1.442,60
.cocofun_2,56.000,0.930,1.070,0.930,60
Get_MDPS_Option,6.800,0.680,0.680,0.680,10
is_coding_navi_mismatch,34.980,0.690,0.930,0.918,40
update_info,484.420,1.030,1.420,1.150,420
FS_UpdateInfo_InvalidSignal,1534.520,152.380,162.180,162.180,10
update_ems,122.500,12.240,12.340,12.340,10
.cocofun_37,32.000,0.550,0.820,0.640,50
.cocofun_51,13.100,0.360,0.590,0.437,30
.cocofun_41,17.390,0.570,0.650,0.607,30
.cocofun_60,65.100,0.380,0.780,0.550,120
.cocofun_54,9.580,0.350,0.500,0.425,20
.cocofun_39,39.930,0.770,0.880,0.840,50
.cocofun_31,39.500,0.680,1.000,0.790,50
.cocofun_38,18.900,0.450,0.760,0.630,30
.cocofun_49,20.510,0.670,0.690,0.687,30
update_clu,97.540,9.740,9.880,9.880,10
.cocofun_36,16.200,0.800,0.820,0.810,20
.cocofun_50,9.900,0.490,0.500,0.495,20
.cocofun_42,18.300,0.900,0.930,0.915,20
update_esc,386.240,38.540,39.380,39.380,10
.cocofun_52,10.000,0.490,0.510,0.500,20
.cocofun_58,55.400,0.920,0.930,0.923,60
.cocofun_40,39.900,0.490,0.510,0.499,80
.cocofun_35,30.240,1.460,1.520,1.485,20
.cocofun_33,43.280,1.430,1.530,1.497,30
.cocofun_43,13.800,0.690,0.690,0.690,20
update_mdps,146.470,14.580,15.250,15.250,10
.cocofun_53,9.600,0.470,0.490,0.480,20
.cocofun_47,9.300,0.400,0.690,0.690,20
update_bcm,78.600,7.860,7.860,7.860,10
update_sbcm,67.640,6.740,6.980,6.980,10
.cocofun_55,14.100,0.700,0.710,0.705,20
update_navi,145.590,14.230,16.640,16.640,10
.cocofun_56,15.690,0.350,0.650,0.550,30
update_fr_c_rdr,85.100,8.460,8.960,8.960,10
update_rdr_fail_flg,26.020,2.530,3.250,3.250,10
get_inhibit_ptr,18.820,0.520,0.530,0.523,36
dump_smu_debug,5.000,0.500,0.500,0.500,10
FS_UpdateInfo_SWFailure,14.000,1.400,1.400,1.400,10
FS_UpdateInfo_VariantCoding,26.800,2.680,2.680,2.680,10
FS_SetDiagsta,529.250,52.780,54.230,54.230,10
FS_SetDiagsta_BatteryVoltage,15.400,1.540,1.540,1.540,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110117_SetEventStatus,4.300,0.430,0.430,0.430,10
