<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Var Count Result>
Symbol,Address,MemoryBank,Read Access Counter core2,Write Access Counter core2,Total
peripheral,0xf0000000--0xffffffff,Reserved,4,4,8
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1,0xD0004000,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x40,0xD0004040,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x80,0xD0004080,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xC0,0xD00040C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x100,0xD0004100,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x140,0xD0004140,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x180,0xD0004180,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x1C0,0xD00041C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x200,0xD0004200,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x240,0xD0004240,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x280,0xD0004280,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x2C0,0xD00042C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x300,0xD0004300,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x340,0xD0004340,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x380,0xD0004380,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x3C0,0xD00043C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x400,0xD0004400,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x440,0xD0004440,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x480,0xD0004480,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x4C0,0xD00044C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x500,0xD0004500,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x540,0xD0004540,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x580,0xD0004580,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x5C0,0xD00045C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x600,0xD0004600,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x640,0xD0004640,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x680,0xD0004680,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x6C0,0xD00046C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x700,0xD0004700,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x740,0xD0004740,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x780,0xD0004780,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x7C0,0xD00047C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x800,0xD0004800,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x840,0xD0004840,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x880,0xD0004880,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x8C0,0xD00048C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x900,0xD0004900,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x940,0xD0004940,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x980,0xD0004980,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0x9C0,0xD00049C0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xA00,0xD0004A00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xA40,0xD0004A40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xA80,0xD0004A80,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xAC0,0xD0004AC0,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB00,0xD0004B00,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB40,0xD0004B40,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xB80,0xD0004B80,Reserved,0,1,1
\\MANDO_FailSafe_Integration\Global\_lc_ub_csa_tc1+0xBC0,0xD0004BC0,Reserved,0,1,1
