<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Call Coverage List>
File,Function Name,Function Call List,Address,Call Instruction,True/False,Test Case
FS_InvalidSignal.c,CallOutRx_BCM_02_200ms,memcpy,0x80003A6E,call,False,[]
FS_HWFailure.c,dump_ext_wdg_reset,get_precond_ptr,0x800038B4,call,False,[]
FS_CANTimeout.c,FS_Clear_CANTimeout,memset,0x80002F0C,call,False,[]
,,memset,0x80002F1E,call,False,[]
FS_InvalidSignal.c,FS_Clear_InvalidSignal,memset,0x80003ABC,call,False,[]
,,memset,0x80003ACC,call,False,[]
,,memset,0x80003ADE,call,False,[]
,,memset,0x80003AEC,call,False,[]
,,memset,0x80003AFA,call,False,[]
,,memset,0x80003B0A,call,False,[]
,,memset,0x80003B1A,call,False,[]
,,memset,0x80003B28,call,False,[]
,,memset,0x80003B38,call,False,[]
,,memset,0x80003B46,call,False,[]
,,memset,0x80003B56,call,False,[]
,,memset,0x80003B66,call,False,[]
,,memset,0x80003B78,call,False,[]
,,memset,0x80003B8A,call,False,[]
,,memset,0x80003B9C,call,False,[]
SWC_Failsafe.c,FS_MasterLoop,FS_UpdatePrecond,0x80005172,call,True,['CallCoverageData']
,,FS_UpdateInfo,0x80005176,call,True,['CallCoverageData']
,,FS_SetDiagsta,0x8000517A,call,True,['CallCoverageData']
,,FS_SetInhibit,0x8000517E,call,True,['CallCoverageData']
SWC_Failsafe.c,FS_PostProcessing,get_inhibit_ptr,0x80005186,call,True,['CallCoverageData']
,,Get_HDA2_Option,0x8000518C,call,True,['CallCoverageData']
,,Get_HDA2_Option,0x80005198,call,True,['CallCoverageData']
SWC_Failsafe.c,FS_SetDiagsta,FS_SetDiagsta_BatteryVoltage,0x80005212,call,True,['CallCoverageData']
,,FS_SetDiagsta_CANBusOff,0x80005216,call,True,['CallCoverageData']
,,FS_SetDiagsta_CANTimeout,0x8000521A,call,True,['CallCoverageData']
,,FS_SetDiagsta_InvalidSignal,0x8000521E,call,True,['CallCoverageData']
