<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
__init_sp,350980.0,-,350980.0,-,2
_start,350978.0,-,350978.0,-,1
_c_init_tc2,6.540,6.540,6.540,6.540,1
_c_init_entry,5.950,5.950,5.950,5.950,1
main_core2,2755.0,-,2755.0,-,1
Stack2_Fill,2755.0,2755.0,2755.0,2755.0,1
Check_Point,0.000,-,-,-,6
FS_MasterLoop,3099.720,504.490,536.690,536.690,6
FS_UpdatePrecond,35.670,5.350,7.020,7.020,6
.cocofun_3,4.360,0.650,0.870,0.870,6
is_valid_ems,8.540,1.190,1.520,1.490,6
.cocofun_48,13.970,0.740,0.820,0.777,18
FS_UpdateInfo,2366.340,388.300,416.260,416.260,6
FS_UpdateInfo_BatteryVoltage,39.380,6.340,7.280,7.280,6
get_precond_ptr,72.170,0.530,0.720,0.571,126
update_vol_info,32.450,5.080,6.190,6.190,6
FS_UpdateInfo_CANBusOff,25.570,3.550,4.920,4.920,6
FS_UpdateInfo_CANTimeout,1315.880,216.110,226.320,226.320,6
Get_HDA2_Option,52.150,1.430,1.540,1.450,36
.cocofun_2,38.850,4.830,5.020,4.840,8
Get_MDPS_Option,4.080,0.680,0.680,0.680,6
is_coding_navi_mismatch,22.410,0.910,1.160,0.918,24
Get_ISG_Option,5.230,1.030,1.110,1.110,5
update_info,288.420,0.820,1.420,1.140,252
