<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
__init_sp,362003.0,-,362003.0,-,2
_start,362001.0,-,362001.0,-,1
_c_init_tc2,6.770,6.770,6.770,6.770,1
_c_init_entry,6.060,6.060,6.060,6.060,1
main_core2,2911.0,-,2911.0,-,1
Stack2_Fill,2910.0,2910.0,2910.0,2910.0,1
Check_Point,0.000,-,-,-,29
FS_MasterLoop,17011.450,508.360,984.240,548.380,29
FS_UpdatePrecond,209.160,4.260,9.540,9.540,29
.cocofun_3,20.570,0.650,0.870,0.870,29
is_valid_ems,38.300,1.500,1.550,1.500,25
.cocofun_48,64.410,0.740,0.800,0.777,83
FS_UpdateInfo,11329.470,312.670,425.370,425.370,29
FS_UpdateInfo_BatteryVoltage,183.260,5.830,8.060,8.060,29
get_precond_ptr,352.310,0.290,0.720,0.579,609
update_vol_info,140.620,4.610,6.080,6.080,29
FS_UpdateInfo_CANBusOff,99.790,3.390,4.870,4.870,29
FS_UpdateInfo_CANTimeout,6500.220,218.820,232.070,232.070,29
Get_HDA2_Option,252.040,1.270,1.580,1.450,174
.cocofun_2,239.240,4.830,5.120,4.840,49
Get_MDPS_Option,19.720,0.680,0.680,0.680,29
is_coding_navi_mismatch,153.550,0.910,1.000,0.918,166
Get_ISG_Option,29.950,1.030,1.110,1.110,29
update_info,1256.320,0.820,1.540,1.109,1081
FS_UpdateInfo_InvalidSignal,4401.800,78.800,174.180,174.180,29
update_ems,349.340,9.810,13.010,13.010,29
.cocofun_37,84.800,0.360,0.820,0.624,145
.cocofun_51,37.990,0.360,0.590,0.437,87
.cocofun_41,45.620,0.570,0.650,0.607,79
.cocofun_60,170.010,0.380,0.780,0.550,308
.cocofun_54,26.010,0.350,0.500,0.425,54
.cocofun_39,102.980,0.770,0.890,0.840,129
.cocofun_31,133.530,0.520,1.210,1.042,137
.cocofun_38,44.680,0.450,0.760,0.630,74
.cocofun_49,50.670,0.650,0.690,0.687,74
update_clu,279.690,4.600,10.650,10.650,29
.cocofun_36,91.530,1.280,1.650,1.620,58
.cocofun_59,55.820,0.550,0.780,0.740,87
.cocofun_50,24.750,0.490,0.500,0.495,50
.cocofun_42,49.140,0.690,0.930,0.915,54
update_esc,1091.860,10.900,44.000,40.010,29
.cocofun_52,23.750,0.460,0.510,0.500,48
.cocofun_58,140.910,0.920,0.990,0.923,150
.cocofun_40,100.260,0.490,0.510,0.499,201
.cocofun_35,76.270,1.420,1.560,1.485,51
.cocofun_33,110.600,1.420,1.530,1.497,75
.cocofun_43,46.580,0.670,0.690,0.690,68
update_mdps,389.080,5.600,15.390,15.390,29
.cocofun_53,24.000,0.470,0.490,0.480,50
.cocofun_47,22.500,0.400,0.690,0.690,50
update_bcm,241.980,8.340,8.370,8.340,29
update_sbcm,203.950,3.470,8.390,8.390,29
.cocofun_55,33.490,0.270,0.710,0.705,50
update_navi,453.460,10.070,19.230,19.230,29
.cocofun_56,39.670,0.290,0.650,0.550,79
update_fr_c_rdr,268.930,3.140,12.050,12.050,29
.cocofun_46,33.270,0.520,1.010,0.875,54
update_rdr_fail_flg,72.770,2.200,3.250,3.250,29
get_inhibit_ptr,131.280,0.520,0.590,0.540,248
dump_smu_debug,14.500,0.500,0.500,0.500,29
FS_UpdateInfo_SWFailure,45.240,1.560,1.560,1.560,29
FS_UpdateInfo_VariantCoding,63.330,2.060,3.420,3.420,29
FS_SetDiagsta,1538.940,52.930,54.230,54.230,29
FS_SetDiagsta_BatteryVoltage,44.660,1.540,1.540,1.540,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110117_SetEventStatus,12.470,0.430,0.430,0.430,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110216_SetEventStatus,14.790,0.510,0.510,0.510,29
FS_SetDiagsta_CANBusOff,51.040,1.760,1.760,1.760,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161E88_SetEventStatus,14.790,0.510,0.510,0.510,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160A88_SetEventStatus,10.440,0.360,0.360,0.360,29
FS_SetDiagsta_CANTimeout,583.800,20.110,20.430,20.280,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161187_SetEventStatus,16.240,0.560,0.560,0.560,29
.cocofun_28,180.760,0.270,0.740,0.520,348
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161287_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162887_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165B87_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168787_SetEventStatus,16.280,0.560,0.570,0.560,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162387_SetEventStatus,14.030,0.340,0.670,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181287_SetEventStatus,16.420,0.340,0.690,0.570,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C167A87_SetEventStatus,16.340,0.340,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B164087_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165C87_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B169887_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186687_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186387_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B160487_SetEventStatus,16.530,0.570,0.570,0.570,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185287_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185187_SetEventStatus,16.820,0.580,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AA87_SetEventStatus,16.530,0.570,0.570,0.570,29
